,last_name,first_name,affiliation_names,affiliation_locations
334,Kihiko,Angela,['Spelman College'],"['Atlanta, GA, USA']"
335,Killen,Kevin,"['New York, NY, USA']",['None']
336,Killianey,Patrick,['Audinate'],"['Buena Park, CA, USA']"
337,Kim,Hong,['Gwangju Institute of Science and Tech'],['None']
338,Kim,Nam,['Gwangju Institute of Science and Technology'],['None']
339,Kim,Sungyoung,['Rochester Institute of Technology'],"['Rochester, NY, USA']"
340,Kim,Tae,['Gwangju Institute of Science and Technology'],['None']
341,Kincaid,Chris,"['Audio Builders Workshop', 'IUPUI']","['Louisville, KY, USA', 'Indianapolis, IN, USA']"
342,King,Richard,"['McGill University', 'Centre for Interdisciplinary Research in Music Media and Technology']","['Montreal, Quebec, Canada', 'Montreal, Quebec, Canada']"
343,Kishi,Tomoya,"['CAPCOM Co., Ltd.']",['Japan']
344,Klapp,Julian,['Fraunhofer IIS'],"['Erlangen, Germany']"
345,Klasco,Michael,['Menlo Scientific Ltd.'],"['Richmond, CA, USA']"
346,Klein,Eve,['University of Queensland'],"['Brisbane, Queensland, Australia']"
347,Klein,Florian,['Technische Universität Ilmenau'],"['Ilmenau, Germany']"
348,Kline,Gary,"['Kline Consulting Group LLC', 'Kline Consulting Group LLC']","['Atlanta, GA, USA', 'None']"
349,Ko,Doyuen,['Belmont University'],"['Nashville, TN, USA']"
350,Kobayashi,Kazunori,['NTT'],"['Tokyo, Japan']"
351,Kolbrek,Bjørn,['Celestion'],"['Ipswich, UK']"
352,Kortchmar,Danny,"['Legendary GRAMMY nominated guitarist, songwriter and producer']",['None']
353,Kosiorek,Alex,"['Central Sound at Arizona PBS', 'Arizona State University']","['Phoenix, AZ, USA', 'Phoenix, AZ, USA']"
354,Kostiukevych,Ievgen,['European Broadcasting Union'],"['Le Grand-Saconnex, Genéve, Switzerland']"
355,Koszela,Bob,['Iron Mountain Entertainment Services'],"['Boyers, PA, USA']"
356,Kovats,Phillip,"['WWS Sound, Sony Interactive Entertainment']",['None']
357,Kramer,Eddie,['Remark Music Ltd.'],"['Woodland Hills, CA, USA']"
358,Kramer,Scott,['Netflix'],"['Los Angeles, CA, USA']"
359,Kraus,Pat,['UMG'],['None']
360,Krivit,John,"['Professional Audio Design', 'Emerson College']","['Hanover, MA, USA', 'Boston, MA, USA']"
361,Kronauer,Genio,['L-Acoustics'],"['Marcoussis, France']"
362,Kubota,Glenn,['Samsung Research America'],"['Valencia, CA, USA']"
363,Kulhan,Muki,['Muki International'],['UK']
364,Kusnetz,Sam,['None'],['None']
365,Kuz,Mike,"['Drake, J. Cole, Offset, Teyana Taylor']",['None']
366,Kwasneski,Julian,['Bay Area Sound'],['None']
367,Labrecque,Denis,['DeLab Consulting'],"['Half Moon Bay, CA, USA']"
368,Lake,Beth,['None'],['None']
369,Lam,Allison,['Tufts University'],"['Medford, MA, USA']"
370,LaMacchia,Brewster,['Clockworks Signal Processing LLC'],"['Andover, MA, USA']"
371,Lamschtein,Cesar,"['Kaps Audio Production Services', 'Mixymaster']","['Montevideo, Uruguay', 'Montevideo, Uruguay']"
372,Lando,Josh,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
373,Lane,Brandie,"['West Point Band', 'New York University']","['West Point, NY, USA', 'Steinhardt']"
374,Lanset,Andy,"['Director of Archives, New York Public Radio']",['None']
375,Larregina,Romina,['WSDG Partner/Project Manager'],['None']
376,Lave,Morten,['Adamson Systems Engineering'],['None']
377,Lavoie,Patrice,['Solotech'],['None']
378,Layer,David,['National Association of Broadcasters'],"['Washington, DC, USA']"
379,Lazar,James,['Samsung Electronics'],"['Valencia, CA, USA']"
380,LeBoeuf,Jay,"['Executive Director at Real Industry, Lecturer at Stanford University']",['None']
381,Lee,Geon,['Gwangju Institute of Science and Technology'],['None']
382,Lee,Hyunhwan,['University of Miami'],"['Coral Gables, FL, USA']"
383,Lee,Hyunkook,['University of Huddersfield'],"['Huddersfield, UK']"
384,Lee,Ming-Lun,['University of Rochester'],"['Rochester, NY, USA']"
385,Lehrman,Paul,['Tufts University'],"['Medford, MA, USA']"
386,Leifer,Jim,['American Tower'],"['Boston, MA, USA']"
387,Leonard,Brett,"['University of Indianapolis', 'The Chelsea Music Festival']","['Indianapolis, IN, USA', 'New York, NY, USA']"
388,Leslie,Scott,['PD Squared'],['USA']
389,Levenson,Adam,"['Sr. Dir. of Business Development & Marketing, Waves Audio']","['San Francisco, CA, USA']"
390,Levin,Igor,['Antelope Audio'],"['New York, NY, USA']"
391,Li,Xiaodong,"['Chinese Academy of Sciences', 'Chinese Academy of Sciences']","['Beijing, China', 'Shanghai, China']"
392,Lieberman,Joyce,['None'],['None']
393,Lindberg,Morten,['2L'],['None']
394,Liu,Ziyun,['Nanjing University'],"['Nanjing, China']"
395,Loar,Josh,"['Michigan Technological University', 'The Producers Group']","['Houghton, MI, USA', 'Burbank, CA, USA']"
396,Loose,John,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
397,Lorbecki,Glenn,['Glenn Sound Inc.'],"['Seattle, WA, USA']"
