,last_name,first_name,affiliation_names,affiliation_locations
608,Sierra,Juan,"['Stanford University', 'Meyer Sound Laboratories']","['Stanford, CA, USA', 'Berkeley, CA, USA']"
609,Sikora,Greg,['Harman International'],"['Munich, Germany']"
610,Silva F.,Camilo,['Camilo Silva F. Mastering'],"['Chia, Cundinamarca, Colombia']"
611,Sim,Keegan,['Hong Kong University of Science and Technology'],"['Clean Water Bay, Hong Kong']"
612,Simon,Adèle,['Bang & Olufsen a/s'],"['Struer, Denmark']"
613,Simon,Greg,['Sennheiser'],['None']
614,Simon,Marcos,"['AudioScenic', 'University of Southampton']","['Southampton UK', 'Southampton, UK']"
615,Sinterniklaas,Michael,"['President, NYAV Post']",['None']
616,Skare,Travis,"['CCRMA, Stanford University']","['Stanford, CA, USA']"
617,Skrok,Mateusz,['Zylia Sp. z o.o.'],"['Poznan, Poland']"
618,Sloma,Ulrike,['Technische Universität Ilmenau'],"['Ilmenau, Germany']"
619,Smith,Ebonie,['Atlantic Records/Hamilton Cast Album'],['None']
620,Smith,III,['Stanford University'],"['Stanford, CA, USA']"
621,Smith,Mike,"['MainStreaming, Inc.']","['San Francisco, CA, USA']"
622,Smith,Sarah,['University of Rochester'],"['Rochester, NY, USA']"
623,Smithers,Michael,"['Dolby Laboratories, Inc.']","['Sydney, NSW, Australia']"
624,Smolen,Christopher,"['QSC, LLC']","['Costa Mesa, CA, USA']"
625,Smyth,Tamara,"['University of California, San Diego']","['San Diego, CA, USA']"
626,Snider,Ross,"['Montana State University', 'Flat Earth Inc.']","['Bozeman, MT, USA', 'Bozeman, MT, USA']"
627,Snoman,Rick,['Altar Recording Studios'],"['Manchester, UK']"
628,Sobrero,Dustin,['Flat Earth Inc.'],"['Bozeman, MT, USA']"
629,Someya,Kazutaka,"['beBlue Co., Ltd.']","['Tokyo, Japan']"
630,Songmuang,Parichat,['New York University'],"['New York, NY, USA']"
631,Sousa,Samuel,['Triton Digital'],"['Montreal, QC, Canada']"
632,Spencer,Cody,['None'],['None']
633,Spencer,Derek,['GRAMMY Museum'],['None']
634,Sporer,Thomas,['Fraunhofer Institute for Digital Media Technology IDMT'],"['Ilmenau, Germany']"
635,Springer,Carla,['None'],['None']
636,Sridhar,Sripathi,['New York University'],"['New York, NY, USA']"
637,St. Hilaire,Rick,['None'],['None']
638,Stables,Ryan,['Birmingham City University'],"['Birmingham, UK']"
639,Stagnitto,Jim,"['Director of Engineering, New York Public Radio']",['None']
640,Starzynski,Jim,"['NBCUniversal', 'ATSC Group']","['New York, NY, USA', 'Washington D.C.']"
641,Stevens,Jesse,['L-Acoustics'],['None']
642,Stiles,Mirek,['Abbey Road Studios'],"['London, UK']"
643,Stoffo,James,['Independent'],"['Key West, FL, USA']"
644,Stoppel,Fabian,['Fraunhofer Institute for Silicon Technology ISIT'],"['Itzehoe, Germany']"
645,Storkson,William,['Bay Area Sound'],['None']
646,Storyk,John,['Walters-Storyk Design Group'],"['Highland, NY, USA']"
647,Strawn,John,"['S Systems, Inc.']","['Larkspur, CA, USA']"
648,Struck,Christopher,"['CJS Labs', 'Acoustical Society of America']","['San Francisco, CA, USA', 'None']"
649,Stuckey,Cameron,['Firehouse Productions'],"['New York, NY, USA']"
650,Sugden,Scott,['L-Acoustics'],"['Oxnard, CA, USA']"
651,Sunder,Kaushik,['Embody VR'],"['Mountain View, CA, USA']"
652,Swanson,Michael,['None'],['None']
653,Swedlow,Nathan,"['Dolby Laboratories, Inc.']","['San Francisco, CA, USA']"
654,Sweidan,Rami,['University of Stuttgart'],"['Stuttgart, Germany']"
655,Tabron,Chris,['None'],['None']
656,Taggart,Emily,['None'],['None']
657,Tajima,Toshiki,['Kyushu University'],"['Fukuoka, Japan']"
658,Takane,Shouichi,['Akita Prefectural University'],"['Yurihonjo, Akita, Japan']"
659,Tarr,Eric,['Belmont University'],"['Nashville, TN, USA']"
660,Taylor,Noah,"['Staff Sergeant, United States Military Academy Band']","['West Point, NY, USA']"
661,Tehranchi,Babak,['Perkins Coie'],"['San Diego, CA, USA']"
662,Temme,Steve,"['Listen, Inc.']","['Boston, MA, USA']"
663,Terenzi,Alessandro,['Universita Politecnica delle Marche'],"['Ancona, Italy']"
664,Terry,Kent,['Dolby Laboratories Inc.'],"['San Francisco, CA, USA']"
665,Thalmann,Florian,['Queen Mary University of London'],"['London, UK']"
666,Thibodeau,David,['Analog Devices'],"['Wilmington, MA, USA']"
667,Thomas,Nate,['University of Lethbridge'],"['Lethbridge, AB, Canada']"
668,Thompson,Austin,"['Technical Director, Gimlet Media']","['Brooklyn, NY, USA']"
669,Thompson,Jamie,['None'],['None']
670,Thompson,Jeff,['XPERI/DTS'],"['Calabasas, CA, USA']"
671,Thompson,Jessica,['Jessica Thompson Audio'],"['Berkeley, CA, USA']"
672,Thompson,Paul,['Leeds Beckett University'],"['Leeds, West Yorkshire, UK']"
673,Toosy,Fesal,['University of Central Punjab'],"['Lahore, Pakistan']"
674,Tornieri,Christophe,['Audiokinetic'],['None']
675,Torres,Simone,['Vocal Producer and Multi Platinum Engineer'],['None']
676,Traynham,Daisey,['Art+Logic'],"['Pasadena, CA, USA']"
677,Trenda,Gary,['Professional Wireless Systems'],"['Orlando, FL, USA']"
678,Trumfio,Dave,['Gold-Diggers Sound'],"['Los Angeles, CA, USA']"
679,Tsui,Benjamin,['University of York'],"['York, UK']"
680,Tucker,April,['None'],['None']
681,Turner,Kierian,['University of Lethbridge'],"['Lethbridge, AB, Canada']"
682,Tyler,Valerie,['College of San Mateo'],"['San Mateo, CA, USA']"
683,Vad,Jack,['San Francisco Symphony'],"['San Francisco, CA, USA']"
684,van de Par,Steven,['University of Oldenburg'],"['Oldenburg, Germany']"
685,van Veen,Merlijn,['Meyer Sound Laboratories'],"['Berkeley, CA, USA']"
686,Vannoy,Trevor,"['Montana State University', 'Flat Earth Inc.']","['Bozeman, MT, USA', 'Bozeman, MT, USA']"
687,Vaucher,Remi,['QSC'],"['Costa Mesa, CA, USA']"
688,Vericolli,Catherine,"['Fivethirteen Recording', 'Useful Industries']","['Tempe, AZ, USA', 'Nashville, TN, USA']"
689,Verna,Paul,['None'],['None']
690,Vindrola,Lucas,"['LAUM', 'PSA Group']","['Les Mans, France', 'Rueil-Malmaison, France']"
691,Visconti,Tony,[''],['None']
692,Voishvillo,Alexander,['JBL/Harman Professional Solutions'],"['Northridge, CA, USA']"
693,Wagner,Bernhard,['Fraunhofer Institute for Silicon Technology ISIT'],"['Itzehoe, Germany']"
694,Wallace,Andy,['Recording engineer'],['USA']
695,Walther,Andreas,['Fraunhofer Institute for Integrated Circuits IIS'],"['Erlangen, Germany']"
696,Wan,Yuxuan,['Hong Kong University of Science and Technology'],"['Clean Water Bay, Hong Kong']"
697,Wang,Dunze,['Guangzhou University'],"['Guangzhou, China']"
698,Wang,Jie,['Guangzhou University'],"['Guangzhou, China']"
699,Wang,Yuxiang,['University of Rochester'],"['Rochester, NY, USA']"
700,Wang,Zhongran,"['Samsung Research America, Audio Lab']","['Valencia, CA, USA']"
701,Ward,Lauren,"['University of Salford', 'BBC Research and Development']","['Salford, UK', 'Salford, UK']"
702,Wardle,Andy,['University of the Highlands & Islands'],"['Perth, UK']"
703,Warrington,Patrick,['Lawo AG'],['Germany']
704,Watanabe,Kanji,['Akita Prefectural University'],"['Yurihonjo Akita, Japan']"
705,Waters,Drew,['VEVA Sound'],['None']
706,Way,Dave,['None'],['None']
707,Weaver,James,['Queen Mary University of London'],"['London, UK']"
708,Weaver,Sarah,"['NowNet Arts, Inc.']",['None']
709,Weiss-Berman,Jenna,['Pineapple Street Media'],"['Brooklyn, NY, USA']"
710,Welti,Todd,['Harman International Inc.'],"['Northridge, CA, USA']"
711,Werner,Stephan,['Technische Universität Ilmenau'],"['Ilmenau, Germany']"
712,Wetzell,Ethan,['OCA Alliance'],"['New York, NY, USA']"
713,Wharton,Peter,"['Happy Robotz', 'SMPTE']","['Washington D.C., USA', 'None']"
714,Whitlock,Bill,['Whitlock Consulting'],"['Ventura, CA, USA']"
715,Whitmore,Eloise,['Naked Productions'],"['Manchester, UK']"
716,Whynot,John,['Berklee College of Music'],"['Los Angeles, CA, USA']"
717,Wiggins,Bruce,['University of Derby'],"['Derby, Derbyshire, UK']"
718,Wigley,Emily,"['Acoustical Engineer, Shure Inc.']","['Chicago, IL, USA']"
719,Wilder,Mark,['None'],['None']
720,Wilk,Emma,['None'],['None']
721,Willens,Jeff,['New York Public Library'],"['New York, NY, USA']"
722,Williams,Jett,['None'],['None']
723,Wilmer,Alex,['Wilmer Sound'],"['San Francisco, CA, USA']"
724,Wilmer,Sae,"['Co-Founder & COO, Wilmer Sound']",['None']
725,Wilmering,Thomas,"['Queen Mary University of London', 'Centre for Digital Music']","['London, UK', 'None']"
726,Winkler,Karl,['Lectrosonics'],"['Rio Rancho, NM, USA']"
727,Winston,Terri,"[""Women's Audio Mission""]","['San Francisco, CA, USA']"
728,Wisland,Mike,['Utah Valley University'],"['Orem, UT, USA']"
729,Wittek,Helmut,['SCHOEPS Mikrofone GmbH'],"['Karlsruhe, Germany']"
730,Womack,Paul,['Willie Green Music'],"['Brooklyn, NY, USA']"
731,Woodcock,James,['University of Salford'],"['Salford, UK']"
732,Woszczyk,Wieslaw,['McGill University'],"['Montreal, QC, Canada']"
733,Wright,Bobby,['Hampton University'],['None']
734,Wu,Jiayue,['University of Colorado Denver'],"['Denver, CO, USA']"
735,Wu,Lijia,['Hong Kong University of Science and Technology'],"['Hong Kong, Chian']"
736,Wyner,Jonathan,"['M Works Studios/iZotope/Berklee College of Music', 'M Works Mastering']","['Boston, MA, USA', 'None']"
737,Yang,Hyunjoung,['McGill University'],"['Montréal, QC, Canada']"
738,Yazawa,Sakurako,['NTT'],"['Tokyo, Japan']"
739,Yoneya,Akihiko,['Nagoya Institute of Technology'],"['Nagoya, Aichi-pref., Japan']"
740,Yu,Pei,['Nanjing University'],"['Nanjing, China']"
741,Zagala,Franck,"['Institute d’Alembert, Group Lutheries—Acoustique-Musique']","['Paris, France']"
742,Zalles,Gabriel,"['University of California, San Diego']","['La Jolla, CA, USA']"
743,Zenker,Benjamin,"['Technical University Dresden', 'Hommbru GmbH']","['Dresden, Germany', 'Reichenbach, Germany']"
744,Zernicki,Tomasz,['Zylia sp. z o.o.'],"['Poznan, Poland']"
745,Zhang,Kathleen,['New York University'],"['New York, NY, USA']"
746,Zhang,Shufeng,['Nanjing University'],"['Nanjing, China']"
747,Zheng,Chengshi,"['Institute of Acoustics, Chinese Academy of Sciences']","['Beijing, China']"
748,Ziemba,Mark,['Panasonic Automotive'],"['Livonia, MI, USA']"
749,Zumwalt,Kelly,['None'],['None']
750,Zúñiga,Jorge,['Queen Mary University of London'],"['London, UK']"
751,Zwicker,Lucas,['Lawo AG'],['None']
